sa1,Italian,Cantonese,Greek,Arabic,Maltese,Nepali,Vietnamese,French,Spanish,Croatian,Bengali,Punjabi,Cebuano,Mandarin,Shona,Swahili,"Spanish Creole, nfd",Dutch,Afrikaans,Polish,German,Macedonian,Urdu,"Non-verbal, so described",Swedish,Filipino,Hakka,Khmer,Somali,Russian,Sinhalese,Estonian,"Serbo-Croatian/Yugoslavian, so described",Thai,Min Nan,Korean,Serbian,Hindi,Tagalog,Marathi,Indonesian,Kannada,Tigrinya,Mauritian Creole,Malayalam,"Southeast Asian Austronesian Languages, nec",Persian (excluding Dari),Portuguese,Welsh,Turkish,Tamil,Japanese,Gujarati,Amharic,Albanian,Assyrian Neo-Aramaic,Dinka,Lao,Oromo,"African Languages, nec",Harari,Inadequately described,Bosnian,Latvian,Akan,Ukrainian,Maori (New Zealand),Hebrew,Telugu,Malay,Luganda,Auslan,"Southern Asian Languages, nfd",Assamese,Bemba,Hungarian,Karen,Danish,Dhivehi,"Chinese, nfd",Kashmiri,Tulu,Burmese,Hazaraghi,Slovene,Samoan,Sindhi,"French Creole, nfd",Lithuanian,Wu,Invented Languages,Mongolian,"African Languages, nfd",Timorese,Slovak,Fijian,Tigre,Dari,Oriya,Bisaya,Romanian,Konkani,"Indo-Aryan, nec",Other Southern Asian Languages,Czech,Irish,Chaldean Neo-Aramaic,"Iranic, nfd",Bidjara,Bulgarian,Tongan,Pashto,Finnish,Yoruba,"Cypriot, so described",Aromunian (Macedo-Romanian),Kurdish
2111402,17,4,8,5,0,16,9,0,10,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,11,5,0,0,0,0,0,12,0,6,0,0,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111403,21,6,15,5,0,0,14,0,11,5,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111404,40,19,21,6,0,0,0,0,8,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111405,33,9,4,3,0,0,7,0,11,0,0,5,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111406,69,4,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111407,36,10,10,10,0,3,3,4,3,12,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,3,0,0,0,0,6,0,8,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111408,8,6,3,0,0,0,7,4,0,20,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,0,0,0,0,0,0,0,0,4,0,0,3,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111409,27,6,9,8,0,0,4,0,0,5,0,3,0,21,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111410,27,5,22,5,0,0,5,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111411,19,9,15,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
