sa1,lang1,lang1_count,lang2,lang2_count,lang3,lang3_count
2122930,Italian,36,Vietnamese,35,Greek,22
2122931,Italian,71,Cantonese,25,Vietnamese,18
2122932,Italian,63,Vietnamese,31,Macedonian,17
2122933,Italian,82,Vietnamese,26,Greek,23
2122934,Italian,62,Greek,36,Vietnamese,25
2122935,Italian,52,Vietnamese,38,Greek,29
2122936,Vietnamese,15,Arabic,12,Greek,8
2122937,Italian,36,Vietnamese,30,Greek,29
2122938,Italian,64,Vietnamese,36,Cantonese,27
2122939,Italian,73,Greek,35,Mandarin,18
2122940,Italian,70,Vietnamese,31,Greek,28
2122941,Italian,37,Vietnamese,23,Persian (excluding Dari),22
2122942,Italian,55,Mandarin,18,Greek,17
2122943,Italian,58,Arabic,43,Cantonese,37
2122944,Italian,20,Greek,8,Japanese,8
2122945,Italian,31,Greek,22,Cantonese,16
2122946,Greek,21,Mandarin,9,Italian,7
2122947,Italian,26,Greek,24,Spanish,9
2122948,Italian,21,Vietnamese,5,Arabic,4
2122949,Italian,44,Vietnamese,18,Greek,12
2122950,Italian,50,Greek,37,Cantonese,12
2122951,Italian,68,Vietnamese,26,Greek,24
2122952,Italian,72,Greek,35,Macedonian,22
2122953,Italian,66,Vietnamese,21,Arabic,18
2122954,Greek,46,Italian,45,Maltese,13
2122955,Italian,15,Arabic,10,Greek,6
2122957,Italian,55,Greek,26,Maltese,10
2122958,Italian,26,Greek,9,Vietnamese,9
2122959,Italian,59,Greek,14,Vietnamese,7
2122960,Italian,17,Greek,14,Pashto,8
2122961,Italian,84,Croatian,17,Vietnamese,15
2122962,Italian,68,Greek,41,Vietnamese,27
2122963,Italian,27,Greek,20,Mandarin,11
2122964,Vietnamese,29,Italian,24,Croatian,14
2123001,Italian,29,Mandarin,16,Greek,13
2123002,Mandarin,13,Italian,8,Greek,6
2123003,Italian,40,Russian,8,Turkish,6
2123004,Italian,38,Cantonese,11,Greek,9
2123005,Greek,16,Croatian,14,Cantonese,10
2123006,Italian,24,Greek,17,Croatian,15
2123007,Italian,18,Croatian,14,Greek,9
2123008,Italian,22,Arabic,12,Mandarin,11
2123009,Italian,25,Mandarin,13,Turkish,7
2123010,Italian,29,Spanish,7,Mandarin,7
2123011,Italian,14,Vietnamese,12,Greek,11
2123012,Italian,25,Mandarin,22,Greek,7
2123013,Greek,13,Italian,12,Vietnamese,6
2123014,Greek,21,Italian,14,Croatian,12
2123015,Macedonian,12,Italian,9,Croatian,9
2123016,Italian,23,Greek,13,Mandarin,12
2123017,Italian,17,Spanish,8,Nepali,8
2123101,Greek,22,Italian,14,Ukrainian,5
2123102,Italian,28,Greek,20,Turkish,14
2123103,Turkish,19,Greek,7,Italian,5
2123104,Italian,28,Greek,22,Mandarin,16
2123105,Italian,21,Greek,7,Spanish,4
2123106,Greek,16,Italian,15,Mandarin,11
2123107,Italian,21,Turkish,7,Assyrian Neo-Aramaic,6
2123108,Italian,18,Arabic,13,Turkish,10
2123109,Italian,29,Ukrainian,7,Min Nan,5
2123110,Greek,9,Italian,9,Ukrainian,4
2123111,Italian,27,Turkish,20,Greek,18
2123112,Greek,11,Italian,11,Turkish,10
2123113,Greek,23,Italian,15,Sinhalese,14
2123114,Vietnamese,12,"Southern Asian Languages, nfd",6,Cantonese,5
2123115,Italian,15,Arabic,14,Cantonese,7
2123116,Italian,21,Vietnamese,7,Mandarin,7
2123117,Italian,38,Greek,13,Arabic,10
2123118,Italian,26,German,5,Ukrainian,4
2123119,Greek,10,Italian,10,Telugu,8
2123120,Italian,24,Turkish,19,Greek,12
2123121,Turkish,21,Italian,13,Hindi,13
2123122,Turkish,19,Ukrainian,13,Greek,12
