Counting,SA1 (UR),LANP - 4 Digit Level,Count
"Persons, Place of Usual Residence",2111317,Swahili,7
"Persons, Place of Usual Residence",2111317,Amharic,37
"Persons, Place of Usual Residence",2111317,Dinka,10
"Persons, Place of Usual Residence",2111317,Harari,3
"Persons, Place of Usual Residence",2111317,Tigrinya,32
"Persons, Place of Usual Residence",2111317,"African Languages, nec",5
"Persons, Place of Usual Residence",2111317,Not stated,126
"Persons, Place of Usual Residence",2111318,English,77
"Persons, Place of Usual Residence",2111318,Greek,3
"Persons, Place of Usual Residence",2111318,Spanish,7
"Persons, Place of Usual Residence",2111318,Arabic,30
"Persons, Place of Usual Residence",2111318,Turkish,6
"Persons, Place of Usual Residence",2111318,Vietnamese,22
"Persons, Place of Usual Residence",2111318,Oromo,11
"Persons, Place of Usual Residence",2111318,Somali,27
"Persons, Place of Usual Residence",2111318,Amharic,12
"Persons, Place of Usual Residence",2111318,Dinka,3
"Persons, Place of Usual Residence",2111318,Harari,3
"Persons, Place of Usual Residence",2111318,Tigrinya,8
"Persons, Place of Usual Residence",2111318,Inadequately described,3
"Persons, Place of Usual Residence",2111318,Not stated,89
"Persons, Place of Usual Residence",2111319,English,333
"Persons, Place of Usual Residence",2111319,German,5
"Persons, Place of Usual Residence",2111319,French,5
"Persons, Place of Usual Residence",2111319,Spanish,9
"Persons, Place of Usual Residence",2111319,Italian,24
"Persons, Place of Usual Residence",2111319,Russian,4
"Persons, Place of Usual Residence",2111319,Croatian,6
"Persons, Place of Usual Residence",2111319,Arabic,4
"Persons, Place of Usual Residence",2111319,Turkish,6
"Persons, Place of Usual Residence",2111319,Hindi,8
"Persons, Place of Usual Residence",2111319,Vietnamese,22
"Persons, Place of Usual Residence",2111319,Indonesian,7
"Persons, Place of Usual Residence",2111319,Cantonese,30
"Persons, Place of Usual Residence",2111319,Mandarin,32
"Persons, Place of Usual Residence",2111319,Korean,6
"Persons, Place of Usual Residence",2111319,Not stated,42
"Persons, Place of Usual Residence",2111320,English,167
"Persons, Place of Usual Residence",2111320,German,4
"Persons, Place of Usual Residence",2111320,Greek,8
"Persons, Place of Usual Residence",2111320,Spanish,10
"Persons, Place of Usual Residence",2111320,Italian,19
"Persons, Place of Usual Residence",2111320,Bosnian,4
"Persons, Place of Usual Residence",2111320,Macedonian,3
"Persons, Place of Usual Residence",2111320,Arabic,20
"Persons, Place of Usual Residence",2111320,Turkish,7
"Persons, Place of Usual Residence",2111320,Hindi,5
"Persons, Place of Usual Residence",2111320,Vietnamese,39
"Persons, Place of Usual Residence",2111320,Cantonese,3
"Persons, Place of Usual Residence",2111320,Mandarin,8
"Persons, Place of Usual Residence",2111320,Oromo,4
"Persons, Place of Usual Residence",2111320,Somali,13
"Persons, Place of Usual Residence",2111320,Amharic,14
"Persons, Place of Usual Residence",2111320,Tigrinya,9
"Persons, Place of Usual Residence",2111320,Not stated,47
"Persons, Place of Usual Residence",2111321,English,78
"Persons, Place of Usual Residence",2111321,Spanish,4
"Persons, Place of Usual Residence",2111321,Polish,4
"Persons, Place of Usual Residence",2111321,Arabic,47
"Persons, Place of Usual Residence",2111321,Vietnamese,36
"Persons, Place of Usual Residence",2111321,Filipino,3
"Persons, Place of Usual Residence",2111321,Cantonese,13
"Persons, Place of Usual Residence",2111321,Mandarin,12
"Persons, Place of Usual Residence",2111321,Oromo,24
"Persons, Place of Usual Residence",2111321,Somali,43
"Persons, Place of Usual Residence",2111321,Amharic,21
"Persons, Place of Usual Residence",2111321,Dinka,14
"Persons, Place of Usual Residence",2111321,Tigrinya,8
"Persons, Place of Usual Residence",2111321,"Non-verbal, so described",3
"Persons, Place of Usual Residence",2111321,Not stated,112
"Persons, Place of Usual Residence",2111322,English,259
"Persons, Place of Usual Residence",2111322,Greek,17
"Persons, Place of Usual Residence",2111322,Spanish,4
"Persons, Place of Usual Residence",2111322,Italian,22
"Persons, Place of Usual Residence",2111322,Croatian,3
"Persons, Place of Usual Residence",2111322,Serbian,5
"Persons, Place of Usual Residence",2111322,Persian (excluding Dari),5
"Persons, Place of Usual Residence",2111322,Vietnamese,5
"Persons, Place of Usual Residence",2111322,Cantonese,8
"Persons, Place of Usual Residence",2111322,Mandarin,4
"Persons, Place of Usual Residence",2111322,Not stated,18
"Persons, Place of Usual Residence",2111323,English,270
"Persons, Place of Usual Residence",2111323,German,5
"Persons, Place of Usual Residence",2111323,Greek,11
"Persons, Place of Usual Residence",2111323,Portuguese,5
"Persons, Place of Usual Residence",2111323,Spanish,4
"Persons, Place of Usual Residence",2111323,Italian,26
"Persons, Place of Usual Residence",2111323,Nepali,3
"Persons, Place of Usual Residence",2111323,Urdu,3
"Persons, Place of Usual Residence",2111323,Vietnamese,5
"Persons, Place of Usual Residence",2111323,Thai,3
"Persons, Place of Usual Residence",2111323,Filipino,3
"Persons, Place of Usual Residence",2111323,Cantonese,11
"Persons, Place of Usual Residence",2111323,Mandarin,7
"Persons, Place of Usual Residence",2111323,Not stated,11
"Persons, Place of Usual Residence",2111324,English,412
"Persons, Place of Usual Residence",2111324,German,5
"Persons, Place of Usual Residence",2111324,French,5
"Persons, Place of Usual Residence",2111324,Greek,30
"Persons, Place of Usual Residence",2111324,Italian,15
"Persons, Place of Usual Residence",2111324,Latvian,3
"Persons, Place of Usual Residence",2111324,Arabic,5
"Persons, Place of Usual Residence",2111324,Malayalam,5
"Persons, Place of Usual Residence",2111324,Punjabi,4
"Persons, Place of Usual Residence",2111324,Urdu,3
"Persons, Place of Usual Residence",2111324,Vietnamese,4
"Persons, Place of Usual Residence",2111324,Tagalog,8
"Persons, Place of Usual Residence",2111324,Cantonese,6
"Persons, Place of Usual Residence",2111324,Mandarin,12
"Persons, Place of Usual Residence",2111324,Japanese,5
"Persons, Place of Usual Residence",2111324,Akan,3
"Persons, Place of Usual Residence",2111324,Not stated,29
"Persons, Place of Usual Residence",2111325,English,310
"Persons, Place of Usual Residence",2111325,Greek,16
"Persons, Place of Usual Residence",2111325,Italian,15
"Persons, Place of Usual Residence",2111325,Ukrainian,6
"Persons, Place of Usual Residence",2111325,Croatian,3
"Persons, Place of Usual Residence",2111325,Arabic,4
"Persons, Place of Usual Residence",2111325,Vietnamese,4
"Persons, Place of Usual Residence",2111325,Mandarin,4
"Persons, Place of Usual Residence",2111325,Maori (New Zealand),3
"Persons, Place of Usual Residence",2111325,Not stated,16
"Persons, Place of Usual Residence",2111326,English,302
"Persons, Place of Usual Residence",2111326,French,3
"Persons, Place of Usual Residence",2111326,Greek,4
"Persons, Place of Usual Residence",2111326,Portuguese,5
"Persons, Place of Usual Residence",2111326,Spanish,7
"Persons, Place of Usual Residence",2111326,Italian,13
"Persons, Place of Usual Residence",2111326,Ukrainian,4
"Persons, Place of Usual Residence",2111326,Persian (excluding Dari),6
"Persons, Place of Usual Residence",2111326,Arabic,4
"Persons, Place of Usual Residence",2111326,Hebrew,4
"Persons, Place of Usual Residence",2111326,Telugu,3
"Persons, Place of Usual Residence",2111326,Nepali,8
"Persons, Place of Usual Residence",2111326,Vietnamese,8
"Persons, Place of Usual Residence",2111326,Thai,5
"Persons, Place of Usual Residence",2111326,Malay,3
"Persons, Place of Usual Residence",2111326,Tagalog,3
"Persons, Place of Usual Residence",2111326,Cantonese,13
"Persons, Place of Usual Residence",2111326,Mandarin,18
"Persons, Place of Usual Residence",2111326,Japanese,8
"Persons, Place of Usual Residence",2111326,Not stated,20
"Persons, Place of Usual Residence",2111327,English,399
"Persons, Place of Usual Residence",2111327,Dutch,6
"Persons, Place of Usual Residence",2111327,Greek,26
"Persons, Place of Usual Residence",2111327,Portuguese,5
"Persons, Place of Usual Residence",2111327,Spanish,3
"Persons, Place of Usual Residence",2111327,Italian,15
"Persons, Place of Usual Residence",2111327,Maltese,4
"Persons, Place of Usual Residence",2111327,Russian,4
"Persons, Place of Usual Residence",2111327,Croatian,4
"Persons, Place of Usual Residence",2111327,Arabic,4
"Persons, Place of Usual Residence",2111327,Turkish,6
"Persons, Place of Usual Residence",2111327,Tamil,5
"Persons, Place of Usual Residence",2111327,Hindi,5
"Persons, Place of Usual Residence",2111327,Nepali,5
"Persons, Place of Usual Residence",2111327,Vietnamese,18
"Persons, Place of Usual Residence",2111327,Indonesian,6
"Persons, Place of Usual Residence",2111327,Mandarin,8
"Persons, Place of Usual Residence",2111327,Luganda,6
"Persons, Place of Usual Residence",2111327,Not stated,22
"Persons, Place of Usual Residence",2111328,English,349
"Persons, Place of Usual Residence",2111328,Greek,4
"Persons, Place of Usual Residence",2111328,Italian,22
"Persons, Place of Usual Residence",2111328,Croatian,3
"Persons, Place of Usual Residence",2111328,Arabic,5
"Persons, Place of Usual Residence",2111328,Vietnamese,9
"Persons, Place of Usual Residence",2111328,Cantonese,5
"Persons, Place of Usual Residence",2111328,Mandarin,3
"Persons, Place of Usual Residence",2111328,Not stated,26
"Persons, Place of Usual Residence",2111329,English,165
"Persons, Place of Usual Residence",2111329,German,3
"Persons, Place of Usual Residence",2111329,French,4
"Persons, Place of Usual Residence",2111329,Greek,21
"Persons, Place of Usual Residence",2111329,Italian,8
"Persons, Place of Usual Residence",2111329,Turkish,13
"Persons, Place of Usual Residence",2111329,Malayalam,5
"Persons, Place of Usual Residence",2111329,Hindi,8
"Persons, Place of Usual Residence",2111329,Cantonese,4
"Persons, Place of Usual Residence",2111329,Mandarin,3
"Persons, Place of Usual Residence",2111329,Min Nan,3
"Persons, Place of Usual Residence",2111329,Not stated,16
"Persons, Place of Usual Residence",2111330,English,216
"Persons, Place of Usual Residence",2111330,Greek,7
"Persons, Place of Usual Residence",2111330,Spanish,3
"Persons, Place of Usual Residence",2111330,Italian,17
"Persons, Place of Usual Residence",2111330,Maltese,7
"Persons, Place of Usual Residence",2111330,Tamil,3
"Persons, Place of Usual Residence",2111330,Hindi,12
"Persons, Place of Usual Residence",2111330,Punjabi,6
"Persons, Place of Usual Residence",2111330,Urdu,8
"Persons, Place of Usual Residence",2111330,Vietnamese,5
"Persons, Place of Usual Residence",2111330,Auslan,5
"Persons, Place of Usual Residence",2111330,Not stated,20
"Persons, Place of Usual Residence",2111331,English,233
"Persons, Place of Usual Residence",2111331,Greek,8
"Persons, Place of Usual Residence",2111331,Spanish,11
"Persons, Place of Usual Residence",2111331,Italian,11
"Persons, Place of Usual Residence",2111331,Maltese,10
"Persons, Place of Usual Residence",2111331,Serbian,3
"Persons, Place of Usual Residence",2111331,Arabic,3
"Persons, Place of Usual Residence",2111331,Hindi,6
"Persons, Place of Usual Residence",2111331,Marathi,4
"Persons, Place of Usual Residence",2111331,Vietnamese,19
"Persons, Place of Usual Residence",2111331,Tagalog,4
"Persons, Place of Usual Residence",2111331,Cantonese,7
"Persons, Place of Usual Residence",2111331,Hakka,3
"Persons, Place of Usual Residence",2111331,Mandarin,6
"Persons, Place of Usual Residence",2111331,Tigrinya,5
"Persons, Place of Usual Residence",2111331,Not stated,18
"Persons, Place of Usual Residence",2111332,English,113
"Persons, Place of Usual Residence",2111332,Greek,7
"Persons, Place of Usual Residence",2111332,Spanish,11
"Persons, Place of Usual Residence",2111332,Italian,4
"Persons, Place of Usual Residence",2111332,Russian,3
"Persons, Place of Usual Residence",2111332,Arabic,11
"Persons, Place of Usual Residence",2111332,Vietnamese,72
"Persons, Place of Usual Residence",2111332,Thai,4
"Persons, Place of Usual Residence",2111332,Cantonese,4
"Persons, Place of Usual Residence",2111332,Mandarin,6
"Persons, Place of Usual Residence",2111332,Oromo,5
"Persons, Place of Usual Residence",2111332,Somali,17
"Persons, Place of Usual Residence",2111332,"Non-verbal, so described",5
"Persons, Place of Usual Residence",2111332,Not stated,11
"Persons, Place of Usual Residence",2111401,English,143
"Persons, Place of Usual Residence",2111401,Greek,8
"Persons, Place of Usual Residence",2111401,Spanish,4
"Persons, Place of Usual Residence",2111401,Italian,16
"Persons, Place of Usual Residence",2111401,Arabic,5
"Persons, Place of Usual Residence",2111401,"Southern Asian Languages, nfd",3
"Persons, Place of Usual Residence",2111401,Malayalam,3
"Persons, Place of Usual Residence",2111401,Bengali,3
"Persons, Place of Usual Residence",2111401,Hindi,10
"Persons, Place of Usual Residence",2111401,Nepali,4
"Persons, Place of Usual Residence",2111401,Vietnamese,8
"Persons, Place of Usual Residence",2111401,Thai,3
"Persons, Place of Usual Residence",2111401,Cantonese,3
"Persons, Place of Usual Residence",2111401,Mandarin,6
"Persons, Place of Usual Residence",2111401,Not stated,13
"Persons, Place of Usual Residence",2111402,English,378
"Persons, Place of Usual Residence",2111402,Greek,8
"Persons, Place of Usual Residence",2111402,Spanish,10
"Persons, Place of Usual Residence",2111402,Italian,17
"Persons, Place of Usual Residence",2111402,Russian,3
"Persons, Place of Usual Residence",2111402,Croatian,3
"Persons, Place of Usual Residence",2111402,Persian (excluding Dari),6
"Persons, Place of Usual Residence",2111402,Arabic,5
"Persons, Place of Usual Residence",2111402,Turkish,11
"Persons, Place of Usual Residence",2111402,Malayalam,12
"Persons, Place of Usual Residence",2111402,Tamil,6
"Persons, Place of Usual Residence",2111402,Gujarati,5
"Persons, Place of Usual Residence",2111402,Hindi,11
"Persons, Place of Usual Residence",2111402,Nepali,16
"Persons, Place of Usual Residence",2111402,Vietnamese,9
"Persons, Place of Usual Residence",2111402,Tagalog,5
"Persons, Place of Usual Residence",2111402,Cantonese,4
"Persons, Place of Usual Residence",2111402,Mandarin,6
"Persons, Place of Usual Residence",2111402,Korean,3
